slug,name,discipline,status,incumbent,advantage_evidence,advantage_x,capex_usd,gross_margin_pct_at_parity,payback_months,capital_productivity_x,months_to_first_revenue,market_absence_verified,regulatory_risk,assessed_date,price_usd,tier,failure_codes,voided_by
high-yield-biomanufactured-magnetosomes-fions-for-ultra-high-relaxivit,High-Yield Biomanufactured Magnetosomes (FIONs) for Ultra-High Relaxivity MRI,Medical Nanomaterials,Rejected,Feridex / Resovist / Gadolinium Chelates,r2 relaxivity of 324-471 mM-1 s-1 vs 133 mM-1 s-1 for Feridex,,,,,,84,no,high,2026-08-28,,,,"A, C"
recombinant-ice-binding-proteins-ibps-via-methylotrophic-yeast-ferment,Recombinant Ice-Binding Proteins (IBPs) via Methylotrophic Yeast Fermentation,Biotechnology,Rejected,CryoStor® CS10 (BioLife Solutions),Post-thaw viability increases of +10% to +28% across mammalian cell lines compared to 10% DMSO baseline,,45000,47.8,52.3,1.6,24,no,med,2026-08-28,,,opex_driven_margin,"C, D, E"
biomimetic-nano-hydroxyapatite-nhap-via-mechanochemical-attritor-milli,Biomimetic Nano-Hydroxyapatite (nHAp) via Mechanochemical Attritor Milling of Waste Eggshells,,Product,,,,,,,,,no,,2026-08-28,499,Standard,,
biochar-supported-sulfidated-nanoscale-zero-valent-iron-s-nzvi-bc-for,Biochar-Supported Sulfidated Nanoscale Zero-Valent Iron (S-nZVI@BC) for Rapid TCE Groundwater Remediation,Environmental Engineering / Nanotechnology,Rejected,Pump-and-Treat Systems (with Activated Carbon),>10x acceleration in TCE chemical degradation rate constant (Kobs) in lab/column studies compared to multi-decade pump-and-treat site operation timelines,10.0,,,,,24,no,med,2026-08-28,,,,B
enteric-drug-delivery-vehicles-via-phosphoric-acidolysis-of-natural-pl,Enteric Drug Delivery Vehicles via Phosphoric Acidolysis of Natural Plant Spores,Pharmaceuticals / Drug Delivery,Rejected,Synthetic PLGA Microspheres / Uncoated Oral Delivery,249.9-fold higher relative bioavailability of 5-FU in colon tissues compared to uncoated standard oral delivery,249.9,125000,13.3,27.8,10.37,36,no,high,2026-08-29,,,opex_driven_margin,"B, C"
high-yield-premium-hydrocolloids-via-synergistic-ultrasound-microwave,"High-Yield, Premium Hydrocolloids via Synergistic Ultrasound-Microwave-Assisted Extraction (UMAE) of Citrus Biowaste",Food Science / Chemical Engineering,Rejected,Conventional Hot Acid Extraction (CE),1.46-fold increase in absolute pectin yield (41.4% vs 28.3%),1.46,,,,,12,no,low,2026-08-29,,,,E
biogenic-acid-resistant-sewer-infrastructure-via-alkali-activated-alum,Biogenic Acid-Resistant Sewer Infrastructure via Alkali-Activated Aluminosilicate Geopolymers,Civil Engineering / Materials Science,Product,ASTM C76 Class III Reinforced Concrete Pipe (RCP) made with Ordinary Portland Cement (OPC),9.5-fold reduction in biogenic acid corrosion rates (1.4 mm/year vs 13.3 mm/year loss in active sewer networks),9.5,,,,,24,no,low,2026-08-29,299,Entry,,"C, D, G"
high-photostability-anti-counterfeiting-inks-via-hydrothermal-carboniz,High-Photostability Anti-Counterfeiting Inks via Hydrothermal Carbonization of Biomass into Carbon Quantum Dots,Nanomaterials,Product,Shenzhen Goosam UV Fluorescent Water-Based Invisible Ink (L3258/L3151 series),Retains >90% signal after 55 hours continuous UV exposure versus incumbent losing >70% signal in a few hours (>10x operational photostability improvement),10.0,45690,52.5,12.0,3.55,4,no,low,2026-08-29,499,Standard,opex_driven_margin,"D, G"
marine-safe-biomimetic-sunscreen-filters-via-ultrasound-assisted-extra,Marine-Safe Biomimetic Sunscreen Filters via Ultrasound-Assisted Extraction of Mycosporine-Like Amino Acids,Marine Biotechnology / Cosmetics,Rejected,Standard Organic UV Filters (Oxybenzone),"Molar extinction coefficient of 28,100-50,000 M⁻¹ cm⁻¹ for isolated MAAs vs ~15,000 M⁻¹ cm⁻¹ for Oxybenzone",,93000,81.5,16.8,1.37,6,no,med,2026-08-29,,,,B
ultra-high-strength-underwater-adhesives-via-in-situ-catechol-polymer,Ultra-High-Strength Underwater Adhesives via In Situ Catechol-Polymer Co-deposition,Materials Science,Product,Belzona 1212,0.146 MPa vs 17.2 MPa underwater pull-off adhesion (-99.1% inferior),,350000,98.4,0.0,413.62,24,no,med,2026-08-29,999,Premium,,"B, C, D, E, G"
liquid-metal-nanoparticle-conductive-ink-via-ultrasonic-probe-cavitati,Liquid Metal Nanoparticle Conductive Ink via Ultrasonic Probe Cavitation,Materials Science,Cleared,Silver flake ink,"Resistance change after 1,000 to 5,000 stretching cycles: Silver Flake Ink >1,000% increase vs Liquid Metal Ink <19.23% increase (>50x superior)",50.0,35000,80.8,0.2,137.14,5,no,med,2026-08-29,1999,Flagship,,none
sustained-release-silk-fibroin-microneedle-matrices-via-lithium-bromid,Sustained-Release Silk Fibroin Microneedle Matrices via Lithium Bromide Extraction,Biomedical Materials,Product,Hyaluronic Acid (HA) microneedle matrices,>100x increase in delivery duration (up to 100 days vs. <60 minutes for HA),100.0,15400,43.3,52.7,4.09,60,no,high,2026-08-29,499,Standard,opex_driven_margin,"B, C, D, G"
ahpnd-targeting-bacteriophage-suspensions-via-rapid-broth-fermentation,AHPND-Targeting Bacteriophage Suspensions via Rapid Broth Fermentation,Aquaculture Biotechnology,Rejected,Florfenicol 20% premix,~0.95x survival rate (78.5% phage vs 80-83% Florfenicol) in AHPND challenge models,0.95,210995,44.3,11.2,4.14,18,no,med,2026-08-29,,,opex_driven_margin,"D, E, G"
commercial-production-of-pediocin-pa-1-biopreservative-via-low-capex-f,Commercial Production of Pediocin PA-1 Biopreservative via Low-CapEx Fermentation,Biotechnology,Product,Opti.Form (Corbion),"720x lower active ingredient dose requirement (25 ppm vs 18,000 ppm)",720.0,285000,-7693.9,,0.0,18,no,med,2026-08-29,499,Standard,opex_driven_margin,"B, D, F, G"
pdms-sio2-superhydrophobic-anti-soiling-nanocoating-for-photovoltaic-a,PDMS/SiO2 Superhydrophobic Anti-Soiling Nanocoating for Photovoltaic Arrays,Materials Science / Chemical Engineering,Rejected,ChemiTek Solar Wash Protect (SWP),1.0x delta (~5% power output increase vs ChemiTek SWP's up to 5% power output increase over standard water washing),1.0,115000,84.4,0.4,44.66,3,no,med,2026-08-29,,,sub_2x,"B, E, G"
high-purity-l-amino-acid-biostimulant-via-keratinase-driven-feather-hy,High-Purity L-Amino Acid Biostimulant via Keratinase-Driven Feather Hydrolysis,Agricultural Biotechnology,Rejected,Enzymatic plant/soy amino acids,1.0x parity on bioavailable L-amino acid purity and ~1.5x on proline content versus enzymatic soy amino acid incumbent,1.5,138000,32.5,44.1,1.08,6,no,med,2026-08-29,,,sub_2x;opex_driven_margin,"D, E, G"
conductive-inositol-hexaphosphate-polyaniline-ip6-pani-hydrogels-via-a,Conductive Inositol Hexaphosphate-Polyaniline (IP6-PANI) Hydrogels via Ambient Aqueous Polymerization,,Rejected,,,,21000,94.4,0.8,34.29,,no,,2026-08-30,,,,
form-stable-capric-palmitic-expanded-graphite-ca-pa-eg-composites-via,Form-Stable Capric-Palmitic/Expanded Graphite (CA-PA/EG) Composites via Vacuum Impregnation,,Rejected,,,,44000,41.6,4.6,10.64,,no,,2026-08-30,,,opex_driven_margin,
potassium-coordinated-cyclodextrin-frameworks-k-cd-via-ultrasound-assi,Potassium-Coordinated Cyclodextrin Frameworks (K-γ-CD) via Ultrasound-Assisted Crystallization,,Rejected,,,,44500,70.6,1.3,24.27,,no,,2026-08-30,,,,
mechanochemical-covalent-triazine-frameworks-ctfs-via-solvent-free-cyc,Mechanochemical Covalent Triazine Frameworks (CTFs) via Solvent-Free Cyclotrimerization,Polymer Chemistry / Water Remediation,Cleared,Premium Coconut Shell Granular Activated Carbon (GAC),903.0 mg/g PFOA adsorption capacity vs 43.4 mg/g for Premium GAC (20.8x delta),20.8,85000,71.2,8.1,3.18,4,no,med,2026-08-31,999,Premium,,none
shear-exfoliated-few-layer-graphene-flg-via-high-speed-hydrodynamics,Shear-Exfoliated Few-Layer Graphene (FLG) via High-Speed Hydrodynamics,Advanced Materials,Rejected,Spherical Alumina,~1.0–3.3 W/mK vs 2.0–4.0 W/mK for Spherical Alumina (negative delta <1x),1.0,550000,-1875.0,,0.08,24,no,low,2026-08-31,,,,"C, D, E, F, G"
polyimide-reinforced-silica-aerogel-blankets-via-ambient-pressure-dryi,Polyimide-Reinforced Silica Aerogel Blankets via Ambient Pressure Drying,Materials Science / Thermal Insulation,Product,Aspen Aerogels Pyrogel XTE,Thermal conductivity of 0.018 W/mK vs Pyrogel XTE's 0.014 W/mK (28% performance regression) and maximum temperature rating of 500°C vs 650°C,,350000,56.4,2.2,13.98,12,no,med,2026-08-31,499,Standard,opex_driven_margin,"D, E"
enzymatic-alginate-oligosaccharides-aos-via-targeted-polysaccharide-ly,Enzymatic Alginate Oligosaccharides (AOS) via Targeted Polysaccharide Lyase Depolymerization,Agricultural Biotechnology,Rejected,Acadian Plant Health Ascophyllum nodosum extract (AscoStar / Stella Maris),Root biomass increase of ~0.97x to 1.1x relative to Ascophyllum nodosum extract (+40.0% AOS vs +41.1% ANE in wheat; +20.2% AOS vs +18% ANE in tomato/soybean),1.1,265000,56.1,101.5,0.25,4,no,med,2026-08-31,,,sub_2x,"D, E, G"
microbial-lactobionic-acid-lba-via-whole-cell-dairy-byproduct-fermenta,Microbial Lactobionic Acid (LBA) via Whole-Cell Dairy Byproduct Fermentation,,Rejected,,,,202000,83.3,19.8,0.96,,no,,2026-08-31,,,,
enzymatic-cyclic-phosphatidic-acid-cpa-via-biocatalytic-transphosphati,Enzymatic Cyclic Phosphatidic Acid (cPA) via Biocatalytic Transphosphatidylation,Biotechnology,Rejected,Bulk Retinol (Vitamin A),"Reduces TEWL by 13-15% over 14 days compared to Retinol which increases TEWL, but fails price-parity requirement as it requires a $350/kg price point.",,270000,-18.5,,2.64,12,no,med,2026-08-31,,,opex_driven_margin,"D, E"
long-afterglow-strontium-aluminate-phosphors-via-sol-gel-auto-combusti,Long-Afterglow Strontium Aluminate Phosphors via Sol-Gel Auto-Combustion,Materials Science,Rejected,"Commercial bulk solid-state SrAl2O4:Eu,Dy",<0.5x afterglow duration (<5 hours vs 10-24 hours for incumbent),0.5,118500,77.5,3.3,6.38,4,no,med,2026-09-01,,,sub_2x,"E, G"
high-impact-polydicyclopentadiene-pdcpd-resins-via-frontal-ring-openin,High-Impact Polydicyclopentadiene (pDCPD) Resins via Frontal Ring-Opening Metathesis Polymerization (FROMP),Polymer Chemistry / Structural Composites,Rejected,Structural Epoxy Resin,300%-400% (3-4x) improvement in ballistic energy absorption (KE50) and 50% smaller delamination area compared to structural epoxy,4.0,134500,60.7,1.9,17.02,6,no,med,2026-09-01,,,opex_driven_margin,none
cement-free-refractory-castables-via-potassium-activated-metakaolin-ge,Cement-Free Refractory Castables via Potassium-Activated Metakaolin Geopolymerization,Materials Science,Product,HarbisonWalker Mizzou® Castable Plus,"Maximum service temperature of ~1250°C vs incumbent's 1650°C (0.75x delta, strictly inferior)",0.75,315000,49.6,7.9,4.24,12,no,low,2026-09-01,299,Entry,opex_driven_margin,"D, E, G"
terephthalaldehyde-crosslinked-polyimine-vitrimers-via-catalyst-free-s,Terephthalaldehyde-Crosslinked Polyimine Vitrimers via Catalyst-Free Solution Casting,Polymer Chemistry,Rejected,Bisphenol A (BPA) Epoxy Resin,Tensile strength of 97.0 MPa vs 70-80 MPa for BPA Epoxy (1.2x improvement); 5 reprocessability cycles vs 0 for BPA Epoxy,1.2,85000,70.0,1.4,19.2,4,no,med,2026-09-01,,,,none
inositol-hexaphosphate-ip6-substrate-passivation-via-ambient-immersion,Inositol Hexaphosphate (IP6) Substrate Passivation via Ambient Immersion,Materials Science / Chemical Engineering,Product,Henkel BONDERITE M-ZN 4333,ASTM B117 Neutral Salt Spray resistance on bare steel: ~72-120 hours for silane-doped IP6 vs 120+ hours for Henkel BONDERITE M-ZN 4333 (<1.0x delta),1.0,41000,93.8,0.0,625.89,3,no,low,2026-09-01,999,Premium,sub_2x,E
lignosulfonate-acrylamide-graft-copolymers-ls-g-paam-via-redox-initiat,Lignosulfonate-Acrylamide Graft Copolymers (LS-g-PAAm) via Redox-Initiated Aqueous Polymerization,Polymer Chemistry / Oilfield Chemicals,Rejected,Driscal D (Chevron Phillips Chemical),3.84x reduction in HTHP fluid loss at 200°C (7.5 mL for LS-g-PAAm vs 28.8 mL for Driscal D),3.84,92000,87.7,0.6,39.13,6,no,med,2026-09-01,,,,none
polyurethane-encapsulated-ipdi-microcapsules-via-low-shear-interfacial,Polyurethane-Encapsulated IPDI Microcapsules via Low-Shear Interfacial Polymerization,Materials Science / Chemical Engineering,Product,Xypex Admix C-1000 NF,87.8% compressive strength recovery vs <50% for Xypex Admix C-1000 NF (>1.7x improvement),1.7,315000,9.2,48.3,3.99,18,no,med,2026-09-01,299,Entry,opex_driven_margin,"B, D, E, G"
compact-volume-expandable-sorbents-cves-via-continuous-polyhipe-emulsi,Compact Volume-Expandable Sorbents (CVES) via Continuous PolyHIPE Emulsion Templating,Materials Science,Product,3M HP-156 High Capacity Petroleum Sorbent Pad,10.2x advantage in volumetric storage efficiency (20 L oil/L storage vs 1.96 L oil/L storage for 3M HP-156),10.2,310000,34.4,3.1,15.39,20,no,med,2026-09-01,499,Standard,opex_driven_margin,"C, D, G"
ultrawhite-barium-sulfate-baso4-subambient-radiative-cooling-paint-via,Ultrawhite Barium Sulfate (BaSO4) Subambient Radiative Cooling Paint via High-Shear Emulsion Dispersion,Materials Science,Product,Henry 887 Tropi-Cool 100% Silicone White Roof Coating,Solar Reflectance of 98.1% vs 88.0% (1.11x gain); absorbed solar heat of 1.9% vs 12.0% (6.3x reduction),6.3,7500,87.7,0.0,597.5,6,no,med,2026-09-01,999,Premium,,"B, E, G"
wpua-pam-eg-organohydrogel-coatings-via-uv-initiated-free-radical-poly,WPUA-PAM@EG Organohydrogel Coatings via UV-Initiated Free-Radical Polymerization,Polymer Chemistry,Rejected,Bergolin 1-Component Topcoat 6P1600,322s droplet freezing delay at -30°C vs <20s for incumbent (>16x delay) and 39.8 kPa ice adhesion at -50°C vs >500 kPa for baseline (>12x reduction),16.0,315000,46.4,2.0,18.29,24,no,med,2026-09-01,,,opex_driven_margin,"B, C, D, F, G"
supramolecular-membrane-rejuvenation-kits-via-metal-phenolic-network-d,Supramolecular Membrane Rejuvenation Kits via Metal-Phenolic Network Deposition,Membrane Science & Water Treatment,Rejected,"Commercial Polyurethane Adhesive Sealants (e.g. 3M 550 Polyurethane, Henkel Loctite Hysol)",>13x improvement in treated area water permeability (13.73-21.66 LMH/bar vs ~0 LMH/bar for polyurethane sealant),13.0,145000,88.8,0.3,59.59,6,no,med,2026-09-01,,,,G
halogen-free-orthoborate-phosphonium-ionic-liquid-p6-6-6-14-bmb-via-am,"Halogen-Free Orthoborate-Phosphonium Ionic Liquid ([P6,6,6,14][BMB]) via Ambient Aqueous Metathesis",Specialty Chemicals / Tribology,Cleared,Chemours Krytox GPL 106,>10x reduction in ball wear volume under 150 N extreme load (wear scar diameter approximately equals theoretical Hertzian contact diameter compared to significant wear for Krytox GPL 106),10.0,103500,88.4,0.3,56.52,6,no,med,2026-09-01,999,Premium,,none
ultra-low-shrinkage-liquid-optically-clear-resin-ocr-via-base-catalyze,Ultra-Low Shrinkage Liquid Optically Clear Resin (OCR) via Base-Catalyzed Thiol-Epoxy Click Photopolymerization,Materials Science,Cleared,"Premium Acrylic UV-Curable LOCA (e.g., Loctite DSP 3196)",~0% volumetric shrinkage vs 3.0%-5.0%+ for premium acrylic LOCA (>5x improvement),5.0,125000,88.3,0.4,57.6,12,no,low,2026-09-02,499,Standard,,none
self-healable-wpu-ti3c2tx-mxene-coating-via-mechanical-blending-and-ca,Self-Healable WPU/Ti3C2Tx MXene Coating via Mechanical Blending and Casting,Materials Science,Product,MG Chemicals 841AR Super Shield Nickel Conductive Paint,"EMI Shielding Effectiveness: ~51.37 dB for venture vs 50-60 dB for MG Chemicals 841AR (Parity, < 2x delta).",2.0,320000,54.3,0.8,40.55,24,no,med,2026-09-02,499,Standard,opex_driven_margin,"C, D, E"
pressureless-micro-silver-indium-mu-ag-in-tlp-sintering-paste-via-mech,Pressureless Micro-Silver-Indium ($\mu$Ag-In) TLP Sintering Paste via Mechanical Alloying,Semiconductor Packaging / Power Electronics,Cleared,MacDermid Alpha Argomax 2148,>2.6x die shear strength after 1000h at 300°C under pressureless conditions (53 MPa vs <20 MPa for incumbent MacDermid Argomax 2148),2.6,150000,73.4,0.1,360.0,9,no,med,2026-09-02,499,Standard,,none
ricinoleic-crosslinked-polysulfide-rcp-sorbents-via-inverse-vulcanizat,Ricinoleic-Crosslinked Polysulfide (RCP) Sorbents via Inverse Vulcanization,,Rejected,,,,182000,62.0,1.7,15.67,,no,,2026-09-02,,,opex_driven_margin,
